KO_id	modules
KO:K00002	M00014
KO:K00003	M00017
KO:K00003	M00018
KO:K00008	M00014
KO:K00012	M00014
KO:K00012	M00129
KO:K00012	M00361
KO:K00012	M00362
KO:K00013	M00026
KO:K00014	M00022
KO:K00018	M00346
KO:K00019	M00088
KO:K00021	M00095
KO:K00022	M00032
KO:K00022	M00085
KO:K00022	M00087
KO:K00023	M00373
KO:K00024	M00009
KO:K00024	M00011
KO:K00024	M00012
KO:K00024	M00168
KO:K00024	M00173
KO:K00024	M00346
KO:K00024	M00374
KO:K00024	M00620
KO:K00024	M00740
KO:K00025	M00009
KO:K00025	M00011
KO:K00025	M00012
KO:K00025	M00168
KO:K00025	M00171
KO:K00026	M00009
KO:K00026	M00011
KO:K00026	M00012
KO:K00026	M00168
KO:K00026	M00171
KO:K00028	M00171
KO:K00029	M00169
KO:K00029	M00172
KO:K00030	M00009
KO:K00030	M00010
KO:K00031	M00009
KO:K00031	M00010
KO:K00031	M00173
KO:K00031	M00740
KO:K00033	M00004
KO:K00033	M00006
KO:K00036	M00004
KO:K00036	M00006
KO:K00036	M00008
KO:K00037	M00104
KO:K00040	M00061
KO:K00041	M00631
KO:K00051	M00172
KO:K00052	M00432
KO:K00052	M00535
KO:K00053	M00019
KO:K00053	M00570
KO:K00055	M00537
KO:K00055	M00538
KO:K00058	M00020
KO:K00059	M00083
KO:K00059	M00572
KO:K00064	M00114
KO:K00070	M00107
KO:K00070	M00110
KO:K00071	M00109
KO:K00077	M00119
KO:K00082	M00125
KO:K00083	M00039
KO:K00087	M00546
KO:K00088	M00050
KO:K00097	M00124
KO:K00099	M00096
KO:K00103	M00129
KO:K00106	M00546
KO:K00108	M00555
KO:K00116	M00009
KO:K00116	M00011
KO:K00128	M00135
KO:K00130	M00555
KO:K00131	M00308
KO:K00131	M00633
KO:K00133	M00016
KO:K00133	M00017
KO:K00133	M00018
KO:K00133	M00033
KO:K00133	M00525
KO:K00133	M00526
KO:K00133	M00527
KO:K00134	M00001
KO:K00134	M00002
KO:K00134	M00003
KO:K00134	M00165
KO:K00134	M00166
KO:K00134	M00308
KO:K00134	M00552
KO:K00135	M00027
KO:K00139	M00027
KO:K00140	M00013
KO:K00141	M00537
KO:K00141	M00538
KO:K00143	M00030
KO:K00143	M00032
KO:K00145	M00028
KO:K00147	M00015
KO:K00149	M00135
KO:K00150	M00001
KO:K00150	M00002
KO:K00150	M00003
KO:K00150	M00165
KO:K00150	M00166
KO:K00151	M00533
KO:K00152	M00534
KO:K00161	M00307
KO:K00162	M00307
KO:K00163	M00307
KO:K00164	M00009
KO:K00164	M00011
KO:K00164	M00032
KO:K00166	M00036
KO:K00167	M00036
KO:K00169	M00173
KO:K00169	M00307
KO:K00169	M00374
KO:K00169	M00620
KO:K00170	M00173
KO:K00170	M00307
KO:K00170	M00374
KO:K00170	M00620
KO:K00171	M00173
KO:K00171	M00307
KO:K00171	M00374
KO:K00171	M00620
KO:K00172	M00173
KO:K00172	M00307
KO:K00172	M00374
KO:K00172	M00620
KO:K00174	M00009
KO:K00174	M00011
KO:K00174	M00173
KO:K00174	M00620
KO:K00175	M00009
KO:K00175	M00011
KO:K00175	M00173
KO:K00175	M00620
KO:K00176	M00009
KO:K00176	M00011
KO:K00176	M00173
KO:K00176	M00620
KO:K00177	M00009
KO:K00177	M00011
KO:K00177	M00173
KO:K00177	M00620
KO:K00182	M00677
KO:K00192	M00422
KO:K00193	M00357
KO:K00193	M00422
KO:K00194	M00357
KO:K00194	M00377
KO:K00194	M00422
KO:K00195	M00422
KO:K00197	M00357
KO:K00197	M00377
KO:K00197	M00422
KO:K00198	M00377
KO:K00200	M00567
KO:K00201	M00567
KO:K00202	M00567
KO:K00203	M00567
KO:K00204	M00567
KO:K00205	M00567
KO:K00207	M00046
KO:K00208	M00083
KO:K00208	M00572
KO:K00209	M00083
KO:K00210	M00025
KO:K00213	M00101
KO:K00215	M00016
KO:K00215	M00525
KO:K00215	M00526
KO:K00215	M00527
KO:K00220	M00040
KO:K00222	M00101
KO:K00223	M00102
KO:K00225	M00114
KO:K00226	M00051
KO:K00227	M00101
KO:K00227	M00102
KO:K00228	M00121
KO:K00230	M00121
KO:K00231	M00121
KO:K00232	M00087
KO:K00232	M00113
KO:K00234	M00009
KO:K00234	M00011
KO:K00234	M00148
KO:K00235	M00009
KO:K00235	M00011
KO:K00235	M00148
KO:K00236	M00009
KO:K00236	M00011
KO:K00236	M00148
KO:K00237	M00009
KO:K00237	M00011
KO:K00237	M00148
KO:K00239	M00009
KO:K00239	M00011
KO:K00239	M00149
KO:K00239	M00173
KO:K00239	M00374
KO:K00239	M00376
KO:K00240	M00009
KO:K00240	M00011
KO:K00240	M00149
KO:K00240	M00173
KO:K00240	M00374
KO:K00240	M00376
KO:K00241	M00009
KO:K00241	M00011
KO:K00241	M00149
KO:K00241	M00173
KO:K00241	M00374
KO:K00241	M00376
KO:K00242	M00009
KO:K00242	M00011
KO:K00242	M00149
KO:K00242	M00173
KO:K00244	M00009
KO:K00244	M00011
KO:K00244	M00150
KO:K00244	M00173
KO:K00245	M00009
KO:K00245	M00011
KO:K00245	M00150
KO:K00245	M00173
KO:K00246	M00009
KO:K00246	M00011
KO:K00246	M00150
KO:K00246	M00173
KO:K00247	M00009
KO:K00247	M00011
KO:K00247	M00150
KO:K00247	M00173
KO:K00249	M00013
KO:K00249	M00036
KO:K00249	M00087
KO:K00251	M00104
KO:K00252	M00032
KO:K00253	M00036
KO:K00254	M00051
KO:K00255	M00087
KO:K00261	M00740
KO:K00274	M00135
KO:K00275	M00124
KO:K00278	M00115
KO:K00281	M00532
KO:K00286	M00015
KO:K00287	M00126
KO:K00288	M00141
KO:K00290	M00030
KO:K00290	M00032
KO:K00291	M00032
KO:K00292	M00032
KO:K00293	M00030
KO:K00293	M00032
KO:K00297	M00377
KO:K00312	M00677
KO:K00319	M00567
KO:K00320	M00567
KO:K00330	M00144
KO:K00331	M00144
KO:K00332	M00144
KO:K00333	M00144
KO:K00334	M00144
KO:K00335	M00144
KO:K00336	M00144
KO:K00337	M00144
KO:K00338	M00144
KO:K00339	M00144
KO:K00340	M00144
KO:K00341	M00144
KO:K00342	M00144
KO:K00343	M00144
KO:K00360	M00531
KO:K00362	M00530
KO:K00363	M00530
KO:K00365	M00546
KO:K00366	M00531
KO:K00367	M00531
KO:K00368	M00529
KO:K00370	M00529
KO:K00370	M00530
KO:K00371	M00529
KO:K00371	M00530
KO:K00372	M00531
KO:K00373	M00529
KO:K00373	M00530
KO:K00374	M00529
KO:K00374	M00530
KO:K00376	M00529
KO:K00380	M00176
KO:K00381	M00176
KO:K00382	M00009
KO:K00382	M00011
KO:K00382	M00036
KO:K00382	M00307
KO:K00382	M00532
KO:K00390	M00176
KO:K00392	M00176
KO:K00394	M00596
KO:K00395	M00596
KO:K00399	M00356
KO:K00399	M00357
KO:K00399	M00563
KO:K00399	M00567
KO:K00401	M00356
KO:K00401	M00357
KO:K00401	M00563
KO:K00401	M00567
KO:K00402	M00356
KO:K00402	M00357
KO:K00402	M00563
KO:K00402	M00567
KO:K00404	M00156
KO:K00405	M00156
KO:K00406	M00156
KO:K00407	M00156
KO:K00408	M00677
KO:K00410	M00151
KO:K00410	M00152
KO:K00411	M00151
KO:K00411	M00152
KO:K00412	M00151
KO:K00412	M00152
KO:K00413	M00151
KO:K00413	M00152
KO:K00414	M00152
KO:K00415	M00152
KO:K00416	M00152
KO:K00417	M00152
KO:K00418	M00152
KO:K00419	M00152
KO:K00420	M00152
KO:K00425	M00153
KO:K00426	M00153
KO:K00431	M00043
KO:K00444	M00677
KO:K00445	M00677
KO:K00446	M00569
KO:K00451	M00044
KO:K00452	M00038
KO:K00453	M00038
KO:K00454	M00113
KO:K00455	M00533
KO:K00457	M00044
KO:K00462	M00543
KO:K00463	M00038
KO:K00475	M00138
KO:K00486	M00038
KO:K00487	M00039
KO:K00487	M00137
KO:K00487	M00350
KO:K00488	M00104
KO:K00489	M00104
KO:K00497	M00108
KO:K00497	M00109
KO:K00498	M00107
KO:K00501	M00042
KO:K00502	M00037
KO:K00503	M00042
KO:K00505	M00042
KO:K00512	M00109
KO:K00512	M00110
KO:K00513	M00108
KO:K00513	M00109
KO:K00514	M00097
KO:K00524	M00053
KO:K00525	M00053
KO:K00526	M00053
KO:K00527	M00053
KO:K00529	M00545
KO:K00531	M00175
KO:K00542	M00047
KO:K00543	M00037
KO:K00548	M00017
KO:K00549	M00017
KO:K00550	M00091
KO:K00551	M00091
KO:K00553	M00042
KO:K00558	M00035
