KO_id	image_id
KO:K00001	map00010
KO:K00001	map00071
KO:K00001	map00350
KO:K00001	map00625
KO:K00001	map00626
KO:K00001	map00830
KO:K00001	map00980
KO:K00001	map00982
KO:K00001	map01220
KO:K00002	map00010
KO:K00002	map00040
KO:K00002	map00561
KO:K00002	map00930
KO:K00002	map01220
KO:K00003	map00260
KO:K00003	map00270
KO:K00003	map00300
KO:K00003	map01230
KO:K00004	map00650
KO:K00005	map00561
KO:K00005	map00640
KO:K00006	map00564
KO:K00007	map00040
KO:K00007	map00051
KO:K00008	map00040
KO:K00008	map00051
KO:K00009	map00051
KO:K00010	map00521
KO:K00010	map00562
KO:K00011	map00040
KO:K00011	map00051
KO:K00011	map00052
KO:K00011	map00561
KO:K00012	map00040
KO:K00012	map00053
KO:K00012	map00500
KO:K00012	map00520
KO:K00013	map00340
KO:K00013	map01230
KO:K00014	map00400
KO:K00014	map01230
KO:K00015	map00630
KO:K00016	map00010
KO:K00016	map00270
KO:K00016	map00620
KO:K00016	map00640
KO:K00016	map04922
KO:K00018	map00260
KO:K00018	map00630
KO:K00018	map00680
KO:K00018	map01200
KO:K00019	map00072
KO:K00019	map00650
KO:K00020	map00280
KO:K00021	map00900
KO:K00021	map04152
KO:K00021	map04976
KO:K00022	map00062
KO:K00022	map00071
KO:K00022	map00280
KO:K00022	map00281
KO:K00022	map00310
KO:K00022	map00380
KO:K00022	map00650
KO:K00022	map00930
KO:K00022	map01212
KO:K00023	map00630
KO:K00023	map00650
KO:K00023	map01200
KO:K00024	map00020
KO:K00024	map00270
KO:K00024	map00620
KO:K00024	map00630
KO:K00024	map00680
KO:K00024	map00710
KO:K00024	map00720
KO:K00024	map01200
KO:K00025	map00020
KO:K00025	map00270
KO:K00025	map00620
KO:K00025	map00630
KO:K00025	map00710
KO:K00025	map01200
KO:K00025	map04964
KO:K00026	map00020
KO:K00026	map00270
KO:K00026	map00620
KO:K00026	map00630
KO:K00026	map00710
KO:K00026	map01200
KO:K00027	map00620
KO:K00027	map01200
KO:K00027	map02020
KO:K00028	map00620
KO:K00028	map00710
KO:K00028	map01200
KO:K00029	map00620
